index_name,doc_count,size_gb,has_domain,domain_field,has_url,url_field,has_company,company_field,has_person,person_field,has_phone,phone_field,has_email,email_field,has_address,address_field,unification_target,data_quality,quality_notes
entity-mentions,3986616,0.8,YES,"domain,doc_domain",YES,"url,doc_url",NO,,NO,,NO,,NO,,NO,,EDGE_ENTITY,HIGH,"Entity mentions in documents"
search_edges,2181328,0.4,NO,,NO,,NO,,NO,,NO,,NO,,NO,,EDGE_PROJECT,HIGH,"Project relationship edges"
matrix_route_edges,11214,0.002,NO,,YES,"source_url,api_endpoint",NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"IO routing edges"
et3-entity-edges,266571,0.01,NO,,NO,,NO,,NO,,NO,,NO,,NO,,EDGE_ENTITY,HIGH,"ET3 entity-report links"
et3-url-edges,261763,0.02,NO,,YES,url,NO,,NO,,NO,,NO,,NO,,EDGE_ENTITY,HIGH,"ET3 URL-report links"
onion-graph-edges,267760,0.04,YES,from/to,YES,"url,found_url",NO,,NO,,NO,,NO,,NO,,EDGE_ONION,HIGH,"Dark web link graph"
nexus_edges,0,0.0,NO,,NO,,NO,,NO,,NO,,NO,,NO,,EDGE_ENTITY,EMPTY,"No data - 0 docs"
drill_links,2508,0.0,YES,"source_domain,target_domain",YES,"source_url,target_url",NO,,NO,,NO,,NO,,NO,,EDGE_PROJECT,HIGH,"Project link discoveries"
uk_ccod,4290542,1.5,NO,,NO,,YES,company_reg_no_*,YES,proprietor_name_*,NO,,NO,,YES,"property_address,proprietor_address_*",UK_PROPERTY,HIGH,"UK commercial ownership - clean data"
uk_addresses,4275000,1.7,NO,,NO,,YES,company_number,YES,owner_name,NO,,NO,,YES,address,UK_PROPERTY,HIGH,"UK unified addresses"
uk_leases,7671742,1.3,NO,,NO,,NO,,NO,,NO,,NO,,YES,property_description,UK_PROPERTY,HIGH,"UK lease records"
uk_ocod,91599,0.03,NO,,NO,,YES,country_incorporated,YES,proprietor_name,NO,,NO,,YES,"property_address,proprietor_address",UK_PROPERTY,HIGH,"UK overseas ownership"
wdc-product-entities,20379243,30.0,YES,domain,YES,url,YES,"brand,manufacturer",NO,,YES,telephone,YES,email,YES,address,WDC_OTHER,HIGH,"Product entities"
wdc-governmentorganization-entities,25229,0.14,YES,domain,YES,url,YES,"name,legalName",YES,founder,YES,telephone,YES,email,YES,address,COMPANY_UNIFIED,HIGH,"Government orgs"
io,61067,0.02,YES,domain,YES,"url,search_url",NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"IO Matrix main index"
io-matrix-sources,41899,0.01,YES,domain,YES,"url,search_url",NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"IO source definitions"
io-matrix-codes,433,0.0,NO,,NO,,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Entity/data type codes"
io-matrix-relationships,48,0.0,NO,,NO,,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Relationship definitions"
io_routes,2390,0.002,NO,,NO,,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Legacy routes"
cymonides-2,13522401,45.3,YES,domain,YES,url,NO,,NO,,NO,,NO,,NO,,CORPUS,HIGH,"Main search corpus"
cymonides_bangs,20389,0.005,YES,domain,YES,url_template,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Bang shortcuts"
linklater_corpus,296,0.0,YES,domain,YES,"url,archive_url",YES,entity_organizations,YES,entity_persons,NO,,NO,,NO,,CORPUS,HIGH,"Archive corpus"
library,1259,0.04,NO,,NO,,NO,,NO,,NO,,NO,,NO,,CORPUS,HIGH,"Due diligence reports"
books,71,0.05,NO,,NO,,NO,,NO,,NO,,NO,,NO,,CORPUS,HIGH,"Book library"
input_output_wiki_matrix,5009,0.002,YES,registry_domain,YES,registry_url,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Registry documentation"
drill_entities,4956,0.0,YES,source_domain,YES,source_url,YES,companies,YES,persons,YES,phones,YES,emails,NO,,EDGE_PROJECT,MEDIUM,"Extracted entities - cross-validate"
drill_pages,830,0.009,YES,domain,YES,url,YES,companies,YES,persons,YES,phones,YES,emails,NO,,CORPUS,CONTAMINATED,"persons/companies fields have 30-50% contamination"
et3-nodes,28640,0.2,NO,,NO,,NO,,NO,,NO,,NO,,NO,,ET3,HIGH,"Events/topics/themes"
nexus_nodes,698,0.0,YES,domain,NO,,YES,company_name,YES,person_name,YES,phone,YES,email,YES,address,NEXUS,HIGH,"Cross-domain entity graph"
onion-pages,7468,0.05,YES,domain,YES,url,YES,companies,YES,persons,YES,phones,YES,emails,YES,addresses,ONION,CONTAMINATED,"persons/companies fields have 30-50% contamination"
onion-graph-nodes,4904,0.003,YES,domain,YES,url,NO,,NO,,NO,,NO,,NO,,ONION,HIGH,"Dark web domain nodes"
soax-investigation,1959,0.02,YES,domain,YES,url,NO,,NO,,NO,,NO,,NO,,CORPUS,HIGH,"Investigation crawls"
category_embeddings,35480,0.6,NO,,NO,,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Category vectors"
matrix_type_embeddings,2461,0.02,NO,,NO,,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Type vectors"
matrix_graph_routes,7471,0.07,NO,,NO,,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Route graph embeddings"
matrix_contrastive_routes,11835,0.09,NO,,NO,,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Contrastive route embeddings"
matrix_compositional,1027,0.008,NO,,NO,,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Compositional components"
matrix_arbitrage_paths,776,0.006,NO,,NO,,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Cross-jurisdiction paths"
matrix_investigation_templates,10,0.0,NO,,NO,,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Investigation templates"
matrix_jurisdiction_transfer,69,0.002,NO,,NO,,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Jurisdiction transfer rules"
template_engines,20389,0.008,YES,domain,YES,url_template,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Search engine templates"
tripwires,1,0.0,NO,,NO,,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Alert triggers"
compliance_database,1,0.0,NO,,NO,,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"Compliance rules"
system_database,1,0.0,NO,,NO,,NO,,NO,,NO,,NO,,NO,,METADATA,HIGH,"System config"
search_nodes_v3,1950406,2.5,YES,"domains,email_domains",YES,url,NO,,YES,"person_first_name,person_last_name",YES,phone_numbers,YES,email_addresses,NO,,RED_FLAG,DUPLICATE,"Same as red_flag - use red_flag instead"
youtube_commons,151500,1.8,NO,,YES,url,NO,,NO,,NO,,NO,,NO,,CORPUS,HIGH,"YouTube data"
tor-bridges,7006,0.002,NO,,NO,,NO,,NO,,NO,,NO,,NO,,ONION,HIGH,"Tor bridge nodes"
