source_index,doc_count,contributes_to,contribution_fields,id_strategy,quality_warning,notes
companies_unified,14930568,LINKEDIN_UNIFIED,linkedin_url,linkedin_url,,"Company LinkedIn"
openownership,36460977,COMPANY_UNIFIED,"name,company_number,jurisdiction",company_number+jurisdiction,EMPTY:subject_name,"subject_name 0% populated - use name or interested_party_name"
openownership,36460977,PERSON_UNIFIED,"interested_party_name,nationality",person_name+company,,"Beneficial owners (persons) - CLEAN DATA"
openownership,36460977,OWNERSHIP_EDGES,"subject_id->company,interested_party_id->owner,ownership_percentage",edge_id,,"Ownership relationships"
openownership,36460977,ADDRESS_UNIFIED,address,address_hash,,"Registered addresses"
wdc-organization-entities,9618873,COMPANY_UNIFIED,"name,legalName,description,foundingDate",domain+name,,"Schema.org orgs"
wdc-organization-entities,9618873,DOMAIN_UNIFIED,domain,domain,,"Org domains"
wdc-organization-entities,9618873,EMAIL_UNIFIED,email,email,,"Org emails"
wdc-organization-entities,9618873,PHONE_UNIFIED,telephone,phone_e164,,"Org phones"
wdc-organization-entities,9618873,ADDRESS_UNIFIED,"address,streetAddress,postalCode,country",address_hash,,"Org addresses"
wdc-organization-entities,9618873,PERSON_UNIFIED,"founder,employee",domain+person_name,,"Founder/employee names"
wdc-localbusiness-entities,478341,COMPANY_UNIFIED,"name,legalName,priceRange",domain+name,,"Local businesses"
wdc-localbusiness-entities,478341,DOMAIN_UNIFIED,domain,domain,,"Business domains"
wdc-localbusiness-entities,478341,EMAIL_UNIFIED,email,email,,"Business emails"
wdc-localbusiness-entities,478341,PHONE_UNIFIED,"telephone,phone,faxNumber",phone_e164,,"Business phones"
wdc-localbusiness-entities,478341,ADDRESS_UNIFIED,"address,streetAddress,city,country,postalCode",address_hash,,"Business addresses"
wdc-localbusiness-entities,478341,GEO_UNIFIED,"latitude,longitude,geo",geo_hash,,"Business locations"
affiliate_linkedin_companies,2851571,COMPANY_UNIFIED,"company_name,industry",domain+company_name,,"LinkedIn companies"
affiliate_linkedin_companies,2851571,DOMAIN_UNIFIED,domain,domain,,"Company domains"
affiliate_linkedin_companies,2851571,LINKEDIN_UNIFIED,"linkedin_url,website_url",linkedin_url,,"LinkedIn URLs"
finepdfs-corporate,1754959,COMPANY_UNIFIED,"company_name,jurisdiction",domain+company_name,,"PDF-extracted companies"
finepdfs-corporate,1754959,DOMAIN_UNIFIED,domain,domain,,"PDF source domains"
finepdfs-corporate,1754959,DOCUMENT_UNIFIED,"url,content_hash,document_type",url,,"Corporate documents"
wdc-governmentorganization-entities,25229,COMPANY_UNIFIED,"name,legalName",domain+name,,"Government orgs"
wdc-governmentorganization-entities,25229,DOMAIN_UNIFIED,domain,domain,,"Gov domains"
wdc-governmentorganization-entities,25229,EMAIL_UNIFIED,email,email,,"Gov emails"
wdc-governmentorganization-entities,25229,PHONE_UNIFIED,telephone,phone_e164,,"Gov phones"
persons_unified,6386096,PERSON_UNIFIED,"full_name,given_name,family_name,job_title,nationality",person_id,GARBAGE:full_name,"full_name is GARBAGE - NER failures, article titles, locations"
persons_unified,6386096,EMAIL_UNIFIED,"email,emails",email,,"Person emails"
persons_unified,6386096,PHONE_UNIFIED,"telephone,telephones",phone_e164,,"Person phones"
persons_unified,6386096,DOMAIN_UNIFIED,employer_domains,domain,,"Employer domains"
persons_unified,6386096,COMPANY_UNIFIED,"company_ids,employer,employers",company_id,,"Person-company links"
persons_unified,6386096,LINKEDIN_UNIFIED,linkedin_url,linkedin_url,,"Person LinkedIn"
persons_unified,6386096,PERSON_COMPANY_EDGES,"person_id,company_ids,job_title",edge_id,,"Employment relationships"
wdc-person-entities,6842260,PERSON_UNIFIED,"name,givenName,familyName,jobTitle,nationality",domain+name,,"Schema.org persons - CLEAN DATA"
wdc-person-entities,6842260,DOMAIN_UNIFIED,domain,domain,,"Person page domains"
wdc-person-entities,6842260,EMAIL_UNIFIED,email,email,,"Person emails"
wdc-person-entities,6842260,PHONE_UNIFIED,telephone,phone_e164,,"Person phones"
wdc-person-entities,6842260,ADDRESS_UNIFIED,address,address_hash,,"Person addresses"
wdc-person-entities,6842260,COMPANY_UNIFIED,worksFor,domain+company_name,,"Employer companies"
wdc-person-entities,6842260,LINKEDIN_UNIFIED,sameAs,linkedin_url,,"LinkedIn from sameAs"
linkedin_unified,2884999,PERSON_UNIFIED,"person_name,job_title,headline",linkedin_url,,"LinkedIn persons - PREFERRED SOURCE"
linkedin_unified,2884999,COMPANY_UNIFIED,"company_name,company_id,industry",company_domain,,"LinkedIn companies - PREFERRED SOURCE"
linkedin_unified,2884999,DOMAIN_UNIFIED,"domain,company_domain",domain,,"LinkedIn domains"
linkedin_unified,2884999,LINKEDIN_UNIFIED,linkedin_url,linkedin_url,,"LinkedIn profiles"
linkedin_unified,2884999,PERSON_COMPANY_EDGES,"person_id,company_id,job_title",edge_id,,"Employment from LinkedIn"
emails_unified,5000,EMAIL_UNIFIED,"email,local_part,email_domain",email,CORRUPTED:local_part+email_domain,"local_part and email_domain fields CORRUPTED - only use email field"
emails_unified,5000,DOMAIN_UNIFIED,email_domain,domain,CORRUPTED,"email_domain field is CORRUPTED"
emails_unified,5000,PERSON_UNIFIED,"person_ids,person_names",person_id,,"Email-person links"
emails_unified,5000,COMPANY_UNIFIED,"company_ids,organization_names",company_id,,"Email-company links"
emails_unified,5000,EMAIL_PERSON_EDGES,"email,person_ids",edge_id,,"Email-person relationships"
emails_unified,5000,EMAIL_COMPANY_EDGES,"email,company_ids",edge_id,,"Email-company relationships"
kazaword_emails,92416,EMAIL_UNIFIED,all_emails,email,,"Email archive - CLEAN DATA"
kazaword_emails,92416,EMAIL_COMMUNICATION_EDGES,"from,to,cc,bcc",edge_id,,"Email communication graph"
phones_unified,49524,PHONE_UNIFIED,"phone_e164,phone_raw,country_code,area_code",phone_e164,,"Primary phone index - CLEAN DATA"
phones_unified,49524,PERSON_UNIFIED,"person_ids,person_names",person_id,,"Phone-person links"
phones_unified,49524,COMPANY_UNIFIED,"company_ids,organization_names",company_id,,"Phone-company links"
phones_unified,49524,PHONE_PERSON_EDGES,"phone_e164,person_ids",edge_id,,"Phone-person relationships"
phones_unified,49524,PHONE_COMPANY_EDGES,"phone_e164,company_ids",edge_id,,"Phone-company relationships"
breach_records,189236815,BREACH_UNIFIED,"email,name,phone,password_hash,hash_type,breach_name,breach_year",breach_name+email,GARBAGE:name,"name field is GARBAGE - use email only"
breach_records,189236815,EMAIL_UNIFIED,email,email,,"Breached emails - PREFERRED SOURCE (189M)"
breach_records,189236815,DOMAIN_UNIFIED,email_domain,domain,,"Breach email domains - CLEAN DATA"
breach_records,189236815,PERSON_UNIFIED,name,email+name,GARBAGE,"DO NOT USE name field for person search"
breach_records,189236815,PHONE_UNIFIED,phone,phone_e164,,"Breach phones"
breach_records,189236815,ADDRESS_UNIFIED,"address,city,country,state",address_hash,,"Breach addresses"
breach_records,189236815,EMAIL_BREACH_EDGES,"email,breach_name,breach_year",edge_id,,"Email-breach relationships"
red_flag,1950406,RED_FLAG_UNIFIED,"all fields",id,,"Sanctions/PEP - AUTHORITATIVE"
red_flag,1950406,PERSON_UNIFIED,"person_first_name,person_last_name,person_nationality",canonical_name,,"Red flag persons - CLEAN DATA"
red_flag,1950406,COMPANY_UNIFIED,"lei_codes,duns_numbers,vat_numbers",identifier,,"Red flag companies (by identifier)"
red_flag,1950406,EMAIL_UNIFIED,email_addresses,email,,"Red flag emails"
red_flag,1950406,PHONE_UNIFIED,phone_numbers,phone_e164,,"Red flag phones"
red_flag,1950406,DOMAIN_UNIFIED,"domains,email_domains",domain,,"Red flag domains"
red_flag,1950406,SOCIAL_UNIFIED,social_handles,handle,,"Red flag social handles"
uk_ccod,4290542,UK_PROPERTY_UNIFIED,"title_number,property_address,tenure,price_paid",title_number,,"UK commercial ownership - CLEAN DATA"
uk_ccod,4290542,COMPANY_UNIFIED,"company_reg_no_1,company_reg_no_2",company_number,,"UK property company owners"
uk_ccod,4290542,PERSON_UNIFIED,"proprietor_name_1,proprietor_name_2",title_number+name,MIXED:proprietor_name_2,"proprietor_name_1 is CLEAN, proprietor_name_2 may contain companies"
uk_ccod,4290542,ADDRESS_UNIFIED,"property_address,proprietor_address_1,proprietor_address_2",address_hash,,"UK property addresses"
uk_ccod,4290542,GEO_UNIFIED,location,geo_hash,,"UK property locations"
uk_ccod,4290542,PROPERTY_OWNER_EDGES,"title_number,company_reg_no_*,proprietor_name_*",edge_id,,"Property ownership"
uk_addresses,4275000,ADDRESS_UNIFIED,"address,address_normalized,postcode",uprn,,"UK addresses - CLEAN DATA"
uk_addresses,4275000,COMPANY_UNIFIED,company_number,company_number,,"Address-company links"
uk_addresses,4275000,PERSON_UNIFIED,owner_name,address+name,,"Address-person links"
uk_addresses,4275000,GEO_UNIFIED,location,geo_hash,,"Address locations"
uk_leases,7671742,UK_PROPERTY_UNIFIED,"unique_id,property_description,term,date_of_lease",unique_id,,"UK leases"
uk_leases,7671742,ADDRESS_UNIFIED,property_description,address_hash,,"Lease addresses"
uk_ocod,91599,UK_PROPERTY_UNIFIED,"title_number,property_address,country_incorporated",title_number,,"UK overseas ownership"
uk_ocod,91599,PERSON_UNIFIED,proprietor_name,title_number+name,,"Overseas property owners - CLEAN DATA"
uk_ocod,91599,ADDRESS_UNIFIED,"property_address,proprietor_address",address_hash,,"Overseas property addresses"
uk_ocod,91599,GEO_UNIFIED,location,geo_hash,,"Overseas property locations"
wdc-product-entities,20379243,PRODUCT_UNIFIED,"name,brand,manufacturer,sku,gtin",domain+sku,,"Products"
wdc-product-entities,20379243,DOMAIN_UNIFIED,domain,domain,,"Product page domains"
wdc-product-entities,20379243,COMPANY_UNIFIED,"brand,manufacturer",domain+name,,"Product brands/manufacturers"
wdc-product-entities,20379243,EMAIL_UNIFIED,email,email,,"Product contact emails"
wdc-product-entities,20379243,PHONE_UNIFIED,telephone,phone_e164,,"Product contact phones"
cc_web_graph_host_edges,421203112,DOMAIN_EDGE_UNIFIED,"source,target,source_id,target_id",source+target,,"Host link graph"
cc_web_graph_edges,14965000,URL_EDGE_UNIFIED,"source_url,target_url,anchor_text",source_url+target_url,,"URL link graph"
cc_web_graph_edges,14965000,DOMAIN_EDGE_UNIFIED,"source,target",source+target,,"Domain links from URLs"
cymonides_cc_domain_edges,435770000,DOMAIN_EDGE_UNIFIED,"source_vertex_id,target_vertex_id,link_count",source+target,,"CC domain edges"
entity_links,4750000,ENTITY_EDGE_UNIFIED,"source_id,target_id,edge_type,confidence",edge_id,,"Entity relationships"
entity-mentions,3986616,ENTITY_MENTION_UNIFIED,"entity_value,entity_type,doc_id,doc_url,context",entity+doc,,"Entity mentions in docs"
entity-mentions,3986616,DOMAIN_UNIFIED,"domain,doc_domain",domain,,"Mention source domains"
search_edges,2181328,PROJECT_EDGE_UNIFIED,"from,to,relation,projectId",edge_id,,"Project relationships"
onion-graph-edges,267760,ONION_EDGE_UNIFIED,"from,to,url,snippet",from+to,,"Dark web links"
drill_links,2508,PROJECT_EDGE_UNIFIED,"source_domain,target_domain,source_url,target_url",source+target,,"Discovery links"
cymonides-2,13522401,CORPUS_UNIFIED,"url,domain,title,content,query,category",url,,"Main search corpus"
cymonides-2,13522401,DOMAIN_UNIFIED,domain,domain,,"Corpus source domains"
onion-pages,7468,ONION_UNIFIED,"url,domain,title,content",url,,"Dark web pages"
onion-pages,7468,EMAIL_UNIFIED,emails,email,,"Dark web emails"
onion-pages,7468,PHONE_UNIFIED,phones,phone_e164,,"Dark web phones"
onion-pages,7468,PERSON_UNIFIED,persons,url+name,CONTAMINATED_30-50PCT,"30-50% contamination - cross-validate"
onion-pages,7468,COMPANY_UNIFIED,companies,url+name,CONTAMINATED_30-50PCT,"30-50% contamination - cross-validate"
onion-pages,7468,CRYPTO_UNIFIED,crypto_wallets,wallet,,"Dark web crypto addresses"
onion-pages,7468,ADDRESS_UNIFIED,addresses,address_hash,,"Dark web addresses"
drill_pages,830,CORPUS_UNIFIED,"url,domain,title,content",url,,"Scraped pages"
drill_pages,830,EMAIL_UNIFIED,emails,email,,"Extracted emails"
drill_pages,830,PHONE_UNIFIED,phones,phone_e164,,"Extracted phones"
drill_pages,830,PERSON_UNIFIED,persons,url+name,CONTAMINATED_30-50PCT,"30-50% contamination - cross-validate"
drill_pages,830,COMPANY_UNIFIED,companies,url+name,CONTAMINATED_30-50PCT,"30-50% contamination - cross-validate"
drill_entities,4956,ENTITY_MENTION_UNIFIED,"entity_value,entity_type,source_url,context",entity+url,MEDIUM,"Extracted entities - cross-validate"
nexus_nodes,698,NEXUS_UNIFIED,"node_id,node_type,value",node_id,,"Cross-domain entity nodes"
nexus_nodes,698,EMAIL_UNIFIED,email,email,,"Nexus emails"
nexus_nodes,698,PHONE_UNIFIED,phone,phone_e164,,"Nexus phones"
nexus_nodes,698,PERSON_UNIFIED,person_name,node_id,,"Nexus persons"
nexus_nodes,698,COMPANY_UNIFIED,company_name,node_id,,"Nexus companies"
nexus_nodes,698,DOMAIN_UNIFIED,domain,domain,,"Nexus domains"
io,61067,IO_UNIFIED,"id,name,jurisdiction,category,domain,search_url",id,,"IO Matrix sources"
io-matrix-sources,41899,IO_UNIFIED,"id,name,jurisdiction,category,domain,search_url",id,,"IO source definitions"
